City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
abonnema,4.7084,6.7931,75.49,87,100,8.21,NG,1664127579
abu dhabi,24.4667,54.3667,89.71,81,0,4.61,AE,1664127421
acurenam,1.0322,10.6488,69.08,99,99,3.83,GQ,1664127579
adrar,20.5022,-10.0711,99.12,22,24,7.7,MR,1664127579
ahipara,-35.1667,173.1667,57.38,89,92,10.49,NZ,1664127580
airai,-8.9266,125.4092,58.05,75,45,2.21,TL,1664127580
aklavik,68.2191,-135.0107,35.6,100,100,4.61,CA,1664127580
aksarka,66.5606,67.7975,27.61,84,23,8.63,RU,1664127580
aktau,43.65,51.2,61.38,49,10,10.8,KZ,1664127389
akyab,20.15,92.9,80.2,81,100,2.71,MM,1664127580
albania,41.0,20.0,64.89,63,67,3.8,AL,1664127412
albany,42.6001,-73.9662,61.57,76,97,1.01,US,1664127581
alexandria,31.2156,29.9553,79.34,69,0,11.5,EG,1664127477
alice,27.7523,-98.0697,89.76,53,0,3.44,US,1664127581
alice springs,-23.7,133.8833,72.21,26,90,6.91,AU,1664127581
alofi,-19.0595,-169.9187,73.29,100,100,2.3,NU,1664127582
altay,47.8667,88.1167,56.73,49,4,4.27,CN,1664127582
alugan,12.2188,125.4808,77.14,90,100,5.99,PH,1664127582
alyangula,-13.8483,136.4192,76.8,74,24,1.12,AU,1664127582
amapa,1.0,-52.0,97.48,30,29,6.46,BR,1664127583
ambon,-3.6954,128.1814,78.94,83,40,3.44,ID,1664127583
ambulu,-8.345,113.6058,75.07,91,97,4.36,ID,1664127583
amot,59.5714,7.9877,46.76,85,100,3.36,NO,1664127583
anastacio,-20.4836,-55.8069,99.37,26,53,7.74,BR,1664127583
ancud,-41.8697,-73.8203,48.22,76,75,19.01,CL,1664127583
andra,62.5147,65.8878,28.4,79,6,5.79,RU,1664127583
antsohihy,-14.8796,47.9875,74.97,53,0,10.85,MG,1664127584
aracuai,-16.8497,-42.0703,80.46,53,87,9.44,BR,1664127584
araouane,18.9048,-3.5265,102.76,16,66,6.62,ML,1664127584
ardeoani,46.5333,26.6,59.25,60,65,4.07,RO,1664127584
argelia,2.2556,-77.2488,78.62,65,96,2.33,CO,1664127584
arlit,18.7369,7.3853,103.41,8,25,7.47,NE,1664127584
arman,59.7,150.1667,37.69,60,100,8.88,RU,1664127585
arraial do cabo,-22.9661,-42.0278,75.16,68,75,13.8,BR,1664127585
asau,46.4333,26.4,58.28,64,69,3.8,RO,1664127585
asosa,10.0667,34.5333,60.53,92,83,3.27,ET,1664127585
atar,20.5169,-13.0499,97.16,33,67,10.98,MR,1664127585
